Number of Models,Uniform Mean,Uniform Std,Greedy Mean,Greedy Std,Ensemble Mean,Ensemble Std
1,0.7755599999999999,0.04009362044016481,0.7755599999999999,0.04009362044016481,0.7755599999999999,0.04009362044016481
3,0.7245999999999999,0.033110662935072734,0.8071399999999999,0.007480534740244166,0.8122199999999999,0.018618850662702063
6,0.56714,0.1953870681493532,0.8130200000000001,0.00484413046892835,0.82818,0.01690069821042907
9,0.3362,0.1526106287255249,0.80862,0.005383827634685202,0.8410399999999999,0.009888902871400821
12,0.2529,0.09779965235112034,0.8130200000000001,0.0016509391266790966,0.8403599999999999,0.005118046502328776
15,0.135,0.0,0.811,0.0,0.8486,0.0
