Number of Models,Uniform Mean,Uniform Std,Greedy Mean,Greedy Std,Ensemble Mean,Ensemble Std
1,0.77444,0.036869586382274486,0.77444,0.036869586382274486,0.77444,0.036869586382274486
3,0.76822,0.02372343988548034,0.8032,0.0030059940119700683,0.8116,0.018673724856064465
6,0.76718,0.0220491632494297,0.81534,0.006316518028154442,0.8265399999999999,0.01604027431186885
9,0.76162,0.019446274707511466,0.8222400000000001,0.002941156235224509,0.8403,0.010358764405082281
12,0.74922,0.031222197232097536,0.81728,0.0014538225476308786,0.8403,0.004910397132615642
15,0.7543,0.0,0.8188,0.0,0.8471,0.0
