Number of Models,Uniform Mean,Uniform Std,Greedy Mean,Greedy Std,Ensemble Mean,Ensemble Std
1,0.9860200000000001,0.0031754684693758167,0.9860200000000001,0.0031754684693758167,0.9860200000000001,0.0031754684693758167
3,0.1814,0.05107893890832112,0.9871800000000001,0.0015535765188750765,0.9918099999999999,0.0009438749917229526
6,0.10579999999999998,0.02098280248203276,0.9884599999999999,0.002016035713969368,0.99275,0.0004984977432245894
9,0.1058,0.007763375554486594,0.9892399999999999,0.0016365818036382983,0.9929900000000002,0.00032078029864689807
12,0.11028,0.006440000000000001,0.9902,0.0,0.9930900000000001,0.00031764760348537246
15,0.1135,0.0,0.9902,0.0,0.9932,0.0
