Number of Models,Uniform Mean,Uniform Std,Greedy Mean,Greedy Std,Ensemble Mean,Ensemble Std
1,0.98575,0.0030552413979913428,0.98575,0.0030552413979913428,0.98575,0.0030552413979913428
3,0.9492799999999999,0.09726288912015722,0.98857,0.0014940214188558243,0.99149,0.0009617172141539363
6,0.9640299999999998,0.0362214867171407,0.99014,0.0009840731680113947,0.9924899999999999,0.0006155485358605119
9,0.9645199999999999,0.016561932254420077,0.9901900000000001,0.0009679359482940933,0.99306,0.0002457641145488631
12,0.9630899999999999,0.011098058388745308,0.99064,0.00018000000000001348,0.9933399999999999,0.00020099751242242994
15,0.9659,0.0,0.9907,0.0,0.9935,0.0
